Size,Rating
6.1,4.2
77.0,4.5
9.5,3.9
14.0,3.6
38.0,4.4
16.0,3.5
3.4,4.4
4.7,4.8
5.0,4.6
4.9,4.7
4.9,4.8
16.0,4.173243045387998
3.9,2.7
4.4,5.0
4.8,4.173243045387998
4.5,4.8
70.0,5.0
4.9,4.8
3.7,4.173243045387998
4.9,4.9
16.0,3.0
4.6,4.173243045387998
3.6,4.173243045387998
21.0,4.7
13.0,4.173243045387998
8.7,4.173243045387998
9.2,1.0
6.9,4.173243045387998
39.0,4.173243045387998
8.0,4.173243045387998
3.9,4.173243045387998
14.0,4.173243045387998
11.0,4.173243045387998
13.0,4.173243045387998
9.3,5.0
5.0,4.7
10.0,4.173243045387998
5.0,5.0
5.0,4.173243045387998
3.6,4.173243045387998
19.0,4.173243045387998
5.0,5.0
9.8,4.173243045387998
14.0,4.173243045387998
5.0,4.173243045387998
4.9,4.173243045387998
5.5,3.0
11.0,4.1
3.8,4.173243045387998
5.0,4.173243045387998
8.2,4.173243045387998
21.0,4.173243045387998
12.0,4.173243045387998
10.0,4.173243045387998
3.3,4.173243045387998
25.0,5.0
15.0,3.7
10.0,4.5
4.9,4.2
4.4,4.173243045387998
3.5,4.173243045387998
7.8,4.173243045387998
9.0,4.3
4.7,4.173243045387998
8.1,4.4
14.0,3.4
3.7,4.7
3.5,4.8
4.5,4.7
